FOTOMETRÍA ABSOLUTA

ESTRELLAS DE CALIBRADO:
   C1: 14.004 CV

PT COM 
FECHA J HELIO         MAG      +/-
----------------------------------
2457904.36757      12.065    0.003
2457904.36917      12.099    0.003
2457904.37076      12.077    0.003
2457904.37235      12.091    0.003
2457904.37391      12.104    0.003
2457904.37549      12.102    0.003
2457904.37706      12.125    0.003
2457904.37862      12.116    0.003
2457904.38018      12.152    0.003
2457904.38176      12.156    0.003
2457904.38332      12.152    0.003
2457904.38488      12.154    0.003
2457904.38648      12.174    0.003
2457904.38803      12.158    0.003
2457904.38963      12.178    0.003
2457904.39119      12.166    0.003
2457904.39278      12.195    0.003
2457904.39435      12.182    0.003
2457904.39594      12.199    0.003
2457904.39754      12.213    0.003
2457904.39912      12.217    0.003
2457904.40070      12.203    0.003
2457904.40228      12.217    0.003
2457904.40386      12.215    0.003
2457904.40545      12.212    0.003
2457904.40704      12.210    0.003
2457904.40864      12.206    0.003
2457904.41019      12.179    0.003
2457904.41176      12.192    0.003
2457904.41335      12.187    0.003

Observador: Obs. Mazariegos - F. Limon - AAVSO LFEA
FotoDif 3.95
