FOTOMETRÍA ABSOLUTA

ESTRELLAS DE CALIBRADO:
   C1: 12.771 CV

NSVS 7467387 
FECHA J HELIO         MAG      +/-
----------------------------------
2457888.38017      13.425    0.006
2457888.38174      13.421    0.006
2457888.38331      13.407    0.006
2457888.38489      13.404    0.005
2457888.38648      13.402    0.005
2457888.38808      13.388    0.006
2457888.38967      13.378    0.006
2457888.39124      13.369    0.006
2457888.39282      13.351    0.006
2457888.39440      13.333    0.006
2457888.39596      13.314    0.006
2457888.39752      13.315    0.006
2457888.39911      13.289    0.006
2457888.40071      13.284    0.006
2457888.40228      13.257    0.006
2457888.40386      13.245    0.006
2457888.40546      13.235    0.005
2457888.40702      13.204    0.006
2457888.40859      13.195    0.006
2457888.41016      13.190    0.006
2457888.41173      13.158    0.006
2457888.41331      13.163    0.006
2457888.41487      13.160    0.006
2457888.41647      13.144    0.006
2457888.41808      13.131    0.006
2457888.41966      13.124    0.007
2457888.42122      13.112    0.007
2457888.42280      13.125    0.006
2457888.42436      13.126    0.006

Observador: Obs. Mazariegos - F. Limon - AAVSO LFEA
FotoDif 3.95
