1274,72853	2401275,22853	13,693	0
1274,87931	2401275,37931	13,849	0
1275,70063	2401276,20063	13,59	0
1275,85571	2401276,35571	13,618	0
1275,85674	2401276,35674	13,476	0
1277,70401	2401278,20401	13,664	0
1277,70503	2401278,20503	13,67	0
1277,85697	2401278,35697	13,747	0
1277,85799	2401278,35799	13,882	0
1278,71563	2401279,21563	13,7	0
1283,76359	2401284,26359	13,628	0
1283,76461	2401284,26461	13,674	0
1285,70729	2401286,20729	13,854	0
1285,70831	2401286,20831	13,663	0
1286,70802	2401287,20802	13,497	0
1286,70904	2401287,20904	13,678	0
1286,86086	2401287,36086	13,51	0
1286,86186	2401287,36186	13,541	0
1287,70868	2401288,20868	13,635	0
1287,70968	2401288,20968	13,649	0
1287,86149	2401288,36149	14,001	0
1287,8625	2401288,36250	13,833	0
1288,70941	2401289,20941	13,78	0
1288,71043	2401289,21043	13,809	0
1288,8623	2401289,36230	13,674	0
1288,86331	2401289,36331	13,905	0
1289,70803	2401290,20803	13,416	0
1291,8153	2401292,31530	13,53	0
1295,71031	2401296,21031	13,893	0
1295,71132	2401296,21132	13,814	0
1299,71488	2401300,21488	13,659	0
1299,71589	2401300,21589	13,673	0
1304,71813	2401305,21813	13,48	0
1304,71913	2401305,21913	13,535	0
1305,7189	2401306,21890	13,674	0
1305,71992	2401306,21992	13,741	0
1306,71961	2401307,21961	13,605	0
1306,72061	2401307,22061	13,545	0
1307,72037	2401308,22037	13,515	0
1307,72139	2401308,22139	13,338	0
1308,72108	2401309,22108	13,662	0
1308,72209	2401309,22209	13,744	0
1310,71936	2401311,21936	13,67	0
1310,72038	2401311,22038	13,592	0
1311,72739	2401312,22739	13,401	0
1311,72841	2401312,22841	13,29	0
1312,71882	2401313,21882	13,738	0
1312,71984	2401313,21984	13,677	0
1318,68037	2401319,18037	14,292	0
1320,7287	2401321,22870	13,476	0
1320,72971	2401321,22971	13,497	0
1324,72722	2401325,22722	13,555	0
1324,72823	2401325,22823	13,721	0
1325,72578	2401326,22578	13,567	0
1330,68868	2401331,18868	13,647	0
1330,74512	2401331,24512	13,456	0
1332,6888	2401333,18880	13,801	0
1332,68911	2401333,18911	13,313	0
1334,73493	2401335,23493	13,715	0
1334,73593	2401335,23593	13,757	0
1335,73541	2401336,23541	13,499	0
1335,73643	2401336,23643	13,337	0
1490,95542	2401491,45542	13,434	0
1490,95644	2401491,45644	13,501	0
1491,91557	2401492,41557	13,663	0
1491,91658	2401492,41658	13,617	0
1492,87344	2401493,37344	13,459	0
1492,87446	2401493,37446	13,522	0
1493,87334	2401494,37334	13,659	0
1493,87435	2401494,37435	13,705	0
1494,9104	2401495,41040	13,805	0
1494,91142	2401495,41142	13,74	0
1495,87155	2401496,37155	13,516	0
1495,87256	2401496,37256	13,497	0
1496,87219	2401497,37219	13,626	0
1496,87319	2401497,37319	13,689	0
1497,8711	2401498,37110	13,732	0
1498,87159	2401499,37159	13,627	0
1498,87261	2401499,37261	13,525	0
1502,86672	2401503,36672	13,397	0
1502,86774	2401503,36774	13,516	0
1503,86454	2401504,36454	13,69	0
1503,86556	2401504,36556	13,698	0
1507,90763	2401508,40763	13,9	0
1507,90794	2401508,40794	13,927	0
1512,95168	2401513,45168	13,679	0
1512,9527	2401513,45270	13,703	0
1513,87048	2401514,37048	13,627	0
1513,87151	2401514,37151	13,601	0
1514,87261	2401515,37261	13,747	0
1514,87363	2401515,37363	13,678	0
1515,87065	2401516,37065	13,681	0
1515,87167	2401516,37167	13,776	0
1517,8733	2401518,37330	13,651	0
1517,87432	2401518,37432	13,637	0
1518,87729	2401519,37729	13,574	0
1518,87829	2401519,37829	13,636	0
1519,87744	2401520,37744	13,59	0
1519,87846	2401520,37846	13,52	0
1522,87187	2401523,37187	13,657	0
1522,87289	2401523,37289	13,616	0
1525,86643	2401526,36643	13,568	0
1525,86744	2401526,36744	13,6	0
1526,86866	2401527,36866	13,544	0
1526,86966	2401527,36966	13,425	0
1530,8399	2401531,33990	13,663	0
1530,8409	2401531,34090	13,708	0
1531,87407	2401532,37407	13,849	0
1531,87509	2401532,37509	13,776	0
1532,72778	2401533,22778	13,486	0
1532,72811	2401533,22811	13,503	0
1540,79483	2401541,29483	13,484	0
