#TYPE=Extended
#OBSCODE=LFEA
#SOFTWARE=FotoDif 3.95
#DELIM=comma
#DATE=HJD
#OBSTYPE=CCD
#NAME,DATE,MAG,MERR,FILT,TRANS,MTYPE,CNAME,CMAG,KNAME,KMAG,AMASS,GROUP,CHART,NOTES
NSVS 7467387,2457880.35957,13.171,0.005,CV,NO,STD,UCAC4 610-046052,-14.977,na,na,1.067,na,X18699LQ,na
NSVS 7467387,2457880.36114,13.150,0.005,CV,NO,STD,UCAC4 610-046052,-14.976,na,na,1.070,na,X18699LQ,na
NSVS 7467387,2457880.36272,13.139,0.005,CV,NO,STD,UCAC4 610-046052,-14.980,na,na,1.073,na,X18699LQ,na
NSVS 7467387,2457880.36432,13.125,0.005,CV,NO,STD,UCAC4 610-046052,-14.977,na,na,1.076,na,X18699LQ,na
NSVS 7467387,2457880.36590,13.107,0.005,CV,NO,STD,UCAC4 610-046052,-14.975,na,na,1.079,na,X18699LQ,na
NSVS 7467387,2457880.36748,13.099,0.005,CV,NO,STD,UCAC4 610-046052,-14.972,na,na,1.082,na,X18699LQ,na
NSVS 7467387,2457880.36907,13.102,0.005,CV,NO,STD,UCAC4 610-046052,-14.973,na,na,1.085,na,X18699LQ,na
NSVS 7467387,2457880.37065,13.091,0.005,CV,NO,STD,UCAC4 610-046052,-14.987,na,na,1.089,na,X18699LQ,na
NSVS 7467387,2457880.37223,13.091,0.005,CV,NO,STD,UCAC4 610-046052,-14.986,na,na,1.092,na,X18699LQ,na
NSVS 7467387,2457880.37381,13.083,0.005,CV,NO,STD,UCAC4 610-046052,-14.979,na,na,1.095,na,X18699LQ,na
NSVS 7467387,2457880.37538,13.087,0.005,CV,NO,STD,UCAC4 610-046052,-14.983,na,na,1.099,na,X18699LQ,na
NSVS 7467387,2457880.37695,13.099,0.005,CV,NO,STD,UCAC4 610-046052,-14.986,na,na,1.103,na,X18699LQ,na
NSVS 7467387,2457880.37852,13.102,0.005,CV,NO,STD,UCAC4 610-046052,-14.982,na,na,1.106,na,X18699LQ,na
NSVS 7467387,2457880.38012,13.104,0.005,CV,NO,STD,UCAC4 610-046052,-14.977,na,na,1.110,na,X18699LQ,na
NSVS 7467387,2457880.38171,13.103,0.005,CV,NO,STD,UCAC4 610-046052,-14.977,na,na,1.114,na,X18699LQ,na
NSVS 7467387,2457880.38328,13.119,0.005,CV,NO,STD,UCAC4 610-046052,-14.980,na,na,1.118,na,X18699LQ,na
NSVS 7467387,2457880.38485,13.126,0.005,CV,NO,STD,UCAC4 610-046052,-14.983,na,na,1.122,na,X18699LQ,na
NSVS 7467387,2457880.38644,13.138,0.005,CV,NO,STD,UCAC4 610-046052,-14.981,na,na,1.126,na,X18699LQ,na
NSVS 7467387,2457880.38800,13.134,0.005,CV,NO,STD,UCAC4 610-046052,-14.974,na,na,1.130,na,X18699LQ,na
NSVS 7467387,2457880.38958,13.157,0.005,CV,NO,STD,UCAC4 610-046052,-14.979,na,na,1.135,na,X18699LQ,na
NSVS 7467387,2457880.39114,13.160,0.005,CV,NO,STD,UCAC4 610-046052,-14.966,na,na,1.139,na,X18699LQ,na
NSVS 7467387,2457880.39274,13.176,0.005,CV,NO,STD,UCAC4 610-046052,-14.971,na,na,1.144,na,X18699LQ,na
NSVS 7467387,2457880.39435,13.166,0.005,CV,NO,STD,UCAC4 610-046052,-14.969,na,na,1.149,na,X18699LQ,na
NSVS 7467387,2457880.39593,13.187,0.005,CV,NO,STD,UCAC4 610-046052,-14.970,na,na,1.154,na,X18699LQ,na
NSVS 7467387,2457880.39752,13.189,0.005,CV,NO,STD,UCAC4 610-046052,-14.966,na,na,1.159,na,X18699LQ,na
NSVS 7467387,2457880.39913,13.203,0.005,CV,NO,STD,UCAC4 610-046052,-14.964,na,na,1.164,na,X18699LQ,na
NSVS 7467387,2457880.40070,13.213,0.005,CV,NO,STD,UCAC4 610-046052,-14.969,na,na,1.169,na,X18699LQ,na
NSVS 7467387,2457880.40229,13.219,0.005,CV,NO,STD,UCAC4 610-046052,-14.962,na,na,1.174,na,X18699LQ,na
NSVS 7467387,2457880.40386,13.221,0.005,CV,NO,STD,UCAC4 610-046052,-14.960,na,na,1.179,na,X18699LQ,na
NSVS 7467387,2457880.40545,13.245,0.005,CV,NO,STD,UCAC4 610-046052,-14.967,na,na,1.185,na,X18699LQ,na
NSVS 7467387,2457880.40706,13.247,0.005,CV,NO,STD,UCAC4 610-046052,-14.961,na,na,1.191,na,X18699LQ,na
NSVS 7467387,2457880.40863,13.257,0.005,CV,NO,STD,UCAC4 610-046052,-14.964,na,na,1.196,na,X18699LQ,na
NSVS 7467387,2457880.41023,13.265,0.005,CV,NO,STD,UCAC4 610-046052,-14.964,na,na,1.202,na,X18699LQ,na
NSVS 7467387,2457880.41181,13.267,0.005,CV,NO,STD,UCAC4 610-046052,-14.956,na,na,1.208,na,X18699LQ,na
NSVS 7467387,2457880.41339,13.286,0.005,CV,NO,STD,UCAC4 610-046052,-14.964,na,na,1.214,na,X18699LQ,na
NSVS 7467387,2457880.41495,13.281,0.005,CV,NO,STD,UCAC4 610-046052,-14.953,na,na,1.220,na,X18699LQ,na
NSVS 7467387,2457880.41653,13.289,0.005,CV,NO,STD,UCAC4 610-046052,-14.947,na,na,1.227,na,X18699LQ,na
NSVS 7467387,2457880.41811,13.301,0.005,CV,NO,STD,UCAC4 610-046052,-14.956,na,na,1.233,na,X18699LQ,na
NSVS 7467387,2457880.41968,13.302,0.005,CV,NO,STD,UCAC4 610-046052,-14.947,na,na,1.240,na,X18699LQ,na
NSVS 7467387,2457880.42127,13.317,0.005,CV,NO,STD,UCAC4 610-046052,-14.950,na,na,1.247,na,X18699LQ,na
NSVS 7467387,2457880.42285,13.317,0.005,CV,NO,STD,UCAC4 610-046052,-14.948,na,na,1.254,na,X18699LQ,na
NSVS 7467387,2457880.42443,13.325,0.005,CV,NO,STD,UCAC4 610-046052,-14.946,na,na,1.261,na,X18699LQ,na
NSVS 7467387,2457880.42599,13.337,0.005,CV,NO,STD,UCAC4 610-046052,-14.941,na,na,1.268,na,X18699LQ,na
NSVS 7467387,2457880.42759,13.344,0.005,CV,NO,STD,UCAC4 610-046052,-14.939,na,na,1.275,na,X18699LQ,na
NSVS 7467387,2457880.42915,13.344,0.005,CV,NO,STD,UCAC4 610-046052,-14.937,na,na,1.283,na,X18699LQ,na
NSVS 7467387,2457880.43071,13.357,0.005,CV,NO,STD,UCAC4 610-046052,-14.943,na,na,1.290,na,X18699LQ,na
NSVS 7467387,2457880.43229,13.362,0.005,CV,NO,STD,UCAC4 610-046052,-14.934,na,na,1.298,na,X18699LQ,na
NSVS 7467387,2457880.43385,13.360,0.005,CV,NO,STD,UCAC4 610-046052,-14.932,na,na,1.306,na,X18699LQ,na
NSVS 7467387,2457880.43541,13.385,0.005,CV,NO,STD,UCAC4 610-046052,-14.936,na,na,1.314,na,X18699LQ,na
NSVS 7467387,2457880.43700,13.380,0.005,CV,NO,STD,UCAC4 610-046052,-14.937,na,na,1.323,na,X18699LQ,na
NSVS 7467387,2457880.43858,13.373,0.005,CV,NO,STD,UCAC4 610-046052,-14.932,na,na,1.331,na,X18699LQ,na
NSVS 7467387,2457880.44019,13.382,0.005,CV,NO,STD,UCAC4 610-046052,-14.931,na,na,1.340,na,X18699LQ,na
NSVS 7467387,2457880.44180,13.384,0.005,CV,NO,STD,UCAC4 610-046052,-14.928,na,na,1.349,na,X18699LQ,na
NSVS 7467387,2457880.44337,13.415,0.005,CV,NO,STD,UCAC4 610-046052,-14.934,na,na,1.358,na,X18699LQ,na
NSVS 7467387,2457880.44496,13.403,0.005,CV,NO,STD,UCAC4 610-046052,-14.923,na,na,1.368,na,X18699LQ,na
NSVS 7467387,2457880.44657,13.408,0.005,CV,NO,STD,UCAC4 610-046052,-14.927,na,na,1.377,na,X18699LQ,na
NSVS 7467387,2457880.44814,13.402,0.005,CV,NO,STD,UCAC4 610-046052,-14.917,na,na,1.387,na,X18699LQ,na
NSVS 7467387,2457880.44973,13.415,0.005,CV,NO,STD,UCAC4 610-046052,-14.922,na,na,1.397,na,X18699LQ,na
NSVS 7467387,2457880.45133,13.411,0.005,CV,NO,STD,UCAC4 610-046052,-14.911,na,na,1.407,na,X18699LQ,na
