#TYPE=Extended
#OBSCODE=LFEA
#SOFTWARE=FotoDif 3.95
#DELIM=comma
#DATE=HJD
#OBSTYPE=CCD
#NAME,DATE,MAG,MERR,FILT,TRANS,MTYPE,CNAME,CMAG,KNAME,KMAG,AMASS,GROUP,CHART,NOTES
NSVS 7467387,2457865.36955,13.341,0.005,CV,NO,STD,UCAC4 610-046052,-14.955,na,na,1.027,na,X18699LQ,na
NSVS 7467387,2457865.37112,13.344,0.005,CV,NO,STD,UCAC4 610-046052,-14.954,na,na,1.028,na,X18699LQ,na
NSVS 7467387,2457865.37269,13.355,0.005,CV,NO,STD,UCAC4 610-046052,-14.944,na,na,1.030,na,X18699LQ,na
NSVS 7467387,2457865.37425,13.357,0.005,CV,NO,STD,UCAC4 610-046052,-14.946,na,na,1.031,na,X18699LQ,na
NSVS 7467387,2457865.37583,13.361,0.005,CV,NO,STD,UCAC4 610-046052,-14.955,na,na,1.032,na,X18699LQ,na
NSVS 7467387,2457865.37739,13.368,0.005,CV,NO,STD,UCAC4 610-046052,-14.952,na,na,1.034,na,X18699LQ,na
NSVS 7467387,2457865.37898,13.371,0.005,CV,NO,STD,UCAC4 610-046052,-14.955,na,na,1.036,na,X18699LQ,na
NSVS 7467387,2457865.38056,13.379,0.005,CV,NO,STD,UCAC4 610-046052,-14.956,na,na,1.037,na,X18699LQ,na
NSVS 7467387,2457865.38216,13.386,0.005,CV,NO,STD,UCAC4 610-046052,-14.953,na,na,1.039,na,X18699LQ,na
NSVS 7467387,2457865.38373,13.387,0.005,CV,NO,STD,UCAC4 610-046052,-14.956,na,na,1.041,na,X18699LQ,na
NSVS 7467387,2457865.38532,13.391,0.005,CV,NO,STD,UCAC4 610-046052,-14.954,na,na,1.043,na,X18699LQ,na
NSVS 7467387,2457865.38690,13.402,0.005,CV,NO,STD,UCAC4 610-046052,-14.956,na,na,1.045,na,X18699LQ,na
NSVS 7467387,2457865.38850,13.403,0.005,CV,NO,STD,UCAC4 610-046052,-14.956,na,na,1.047,na,X18699LQ,na
NSVS 7467387,2457865.39006,13.409,0.005,CV,NO,STD,UCAC4 610-046052,-14.960,na,na,1.049,na,X18699LQ,na
NSVS 7467387,2457865.39165,13.409,0.005,CV,NO,STD,UCAC4 610-046052,-14.959,na,na,1.051,na,X18699LQ,na
NSVS 7467387,2457865.39322,13.416,0.005,CV,NO,STD,UCAC4 610-046052,-14.955,na,na,1.053,na,X18699LQ,na
NSVS 7467387,2457865.39479,13.418,0.005,CV,NO,STD,UCAC4 610-046052,-14.950,na,na,1.056,na,X18699LQ,na
NSVS 7467387,2457865.39638,13.413,0.005,CV,NO,STD,UCAC4 610-046052,-14.947,na,na,1.058,na,X18699LQ,na
NSVS 7467387,2457865.39795,13.426,0.005,CV,NO,STD,UCAC4 610-046052,-14.950,na,na,1.061,na,X18699LQ,na
NSVS 7467387,2457865.39953,13.438,0.005,CV,NO,STD,UCAC4 610-046052,-14.956,na,na,1.063,na,X18699LQ,na
NSVS 7467387,2457865.40111,13.430,0.005,CV,NO,STD,UCAC4 610-046052,-14.948,na,na,1.066,na,X18699LQ,na
NSVS 7467387,2457865.40269,13.434,0.005,CV,NO,STD,UCAC4 610-046052,-14.952,na,na,1.069,na,X18699LQ,na
NSVS 7467387,2457865.40427,13.442,0.005,CV,NO,STD,UCAC4 610-046052,-14.957,na,na,1.071,na,X18699LQ,na
NSVS 7467387,2457865.40583,13.435,0.005,CV,NO,STD,UCAC4 610-046052,-14.955,na,na,1.074,na,X18699LQ,na
NSVS 7467387,2457865.40739,13.432,0.005,CV,NO,STD,UCAC4 610-046052,-14.952,na,na,1.077,na,X18699LQ,na
NSVS 7467387,2457865.40896,13.439,0.005,CV,NO,STD,UCAC4 610-046052,-14.948,na,na,1.080,na,X18699LQ,na
NSVS 7467387,2457865.41053,13.430,0.005,CV,NO,STD,UCAC4 610-046052,-14.946,na,na,1.083,na,X18699LQ,na
NSVS 7467387,2457865.41211,13.428,0.005,CV,NO,STD,UCAC4 610-046052,-14.939,na,na,1.087,na,X18699LQ,na
NSVS 7467387,2457865.41371,13.431,0.005,CV,NO,STD,UCAC4 610-046052,-14.941,na,na,1.090,na,X18699LQ,na
NSVS 7467387,2457865.41530,13.442,0.005,CV,NO,STD,UCAC4 610-046052,-14.948,na,na,1.093,na,X18699LQ,na
NSVS 7467387,2457865.41689,13.432,0.005,CV,NO,STD,UCAC4 610-046052,-14.949,na,na,1.097,na,X18699LQ,na
NSVS 7467387,2457865.41849,13.431,0.005,CV,NO,STD,UCAC4 610-046052,-14.948,na,na,1.101,na,X18699LQ,na
NSVS 7467387,2457865.42010,13.427,0.005,CV,NO,STD,UCAC4 610-046052,-14.924,na,na,1.104,na,X18699LQ,na
NSVS 7467387,2457865.42171,13.409,0.005,CV,NO,STD,UCAC4 610-046052,-14.923,na,na,1.108,na,X18699LQ,na
NSVS 7467387,2457865.42328,13.405,0.005,CV,NO,STD,UCAC4 610-046052,-14.921,na,na,1.112,na,X18699LQ,na
