HJD,camera,magnitude,"magnitude error"
2453948.532836,145,14.5819,0.0710
2453948.539190,145,14.1471,0.0502
2453948.543924,145,14.2523,0.0526
2453948.547245,145,14.2199,0.0503
2453948.550451,145,14.1383,0.0479
2453948.554444,145,14.2425,0.0515
2453948.557569,145,14.2026,0.0503
2453948.560567,145,14.2871,0.0533
2453948.563681,145,14.3795,0.0565
2453948.566609,145,14.4640,0.0608
2453948.569688,145,14.4256,0.0575
2453948.573669,145,14.5186,0.0615
2453948.576690,145,14.4610,0.0570
2453948.580394,145,14.4858,0.0588
2453948.583507,145,14.5336,0.0604
2453948.586620,145,14.5221,0.0603
2453948.590509,145,14.5371,0.0604
2453948.593403,145,14.7140,0.0694
2453948.596424,145,14.5238,0.0589
2453948.599352,145,14.6767,0.0655
2453948.602500,145,14.5771,0.0612
2453948.605544,145,14.4940,0.0558
2453948.609306,145,14.5665,0.0592
2453948.612292,145,14.7787,0.0700
2453948.615231,145,14.7004,0.0656
2453948.618438,145,14.7795,0.0700
2453948.622257,145,14.8501,0.0738
2453948.626146,145,14.6395,0.0618
2453948.629259,145,14.6814,0.0641
2453948.632407,145,14.6016,0.0601
2453948.635486,145,14.4852,0.0543
2453948.638449,145,14.5092,0.0561
2453948.641366,145,14.2055,0.0453
2453948.645046,145,14.1524,0.0417
2453948.648275,145,14.0508,0.0394
2453948.651238,145,14.0885,0.0392
2453948.654167,145,14.2175,0.0431
2453948.657153,145,14.2399,0.0437
2453948.660880,145,14.3028,0.0463
2453948.664086,145,14.2573,0.0441
2453948.667917,145,14.3320,0.0471
2453948.671007,145,14.3368,0.0474
2453948.674086,145,14.5052,0.0547
2453948.677199,145,14.5141,0.0549
2453948.680926,145,14.4081,0.0527
2453948.684039,145,14.6175,0.0600
2453948.687095,145,14.5624,0.0572
2453948.690023,145,14.5511,0.0568
2453948.693229,145,14.5619,0.0577
2453948.709977,145,14.8064,0.0711
2453948.712188,145,14.7331,0.0671
2453948.714363,145,14.8656,0.0762
2453948.716678,145,14.7462,0.0677
2453948.719907,145,14.7206,0.0674
2453948.722060,145,14.5897,0.0629
2453948.724421,145,14.7302,0.0752
2453948.726609,145,14.6510,0.0756
2453948.728808,145,14.8558,0.1028
2453948.732083,145,14.8154,0.1265
2453948.734317,145,14.4998,0.1197
2453950.504699,145,14.1340,0.0929
2453950.507905,145,14.2511,0.0964
2453950.512072,145,14.1629,0.0906
2453950.515162,145,14.4017,0.1004
2453950.518391,145,14.0398,0.0797
2453950.521632,145,14.4259,0.0958
2453950.524803,145,14.2638,0.0852
2453950.528009,145,14.4407,0.0892
2453950.531192,145,14.3873,0.0841
2453950.535104,145,14.2567,0.0846
2453950.538252,145,14.4857,0.0884
2453950.541551,145,14.5042,0.0903
2453950.544722,145,14.6801,0.0980
2453950.547813,145,14.5242,0.0895
2453950.550822,145,14.6106,0.0935
2453950.553843,145,14.5724,0.0898
2453950.556956,145,14.5715,0.0896
2453950.560035,145,14.5509,0.0884
2453950.563090,145,14.8052,0.1021
2453950.566238,145,14.6410,0.0938
2453950.570278,145,14.4911,0.0894
2453950.574144,145,14.8650,0.1038
2453950.577164,145,14.6137,0.0914
2453950.580278,145,14.7510,0.0983
2453950.584005,145,14.6366,0.0916
2453950.587060,145,14.6857,0.0921
2453950.590104,145,14.6681,0.0938
2453950.593322,145,14.5124,0.0861
2453950.596331,145,14.4127,0.0799
2453950.599329,145,14.6084,0.0877
2453950.602431,145,14.4531,0.0816
2453950.606296,145,14.0614,0.0708
2453950.612234,145,14.1172,0.0710
2453950.615324,145,14.1339,0.0722
2453950.619861,145,14.2326,0.0730
2453950.623067,145,14.3513,0.0762
2453950.626030,145,14.2139,0.0750
2453950.629074,145,14.4172,0.0797
2453950.632199,145,14.3733,0.0777
2453950.635382,145,14.4950,0.0840
2453950.639201,145,14.3940,0.0821
2453950.642199,145,14.5133,0.0900
2453950.642975,148,14.3477,0.0650
2453950.645220,145,14.5124,0.0880
2453950.645984,148,14.2311,0.0632
2453950.648414,145,14.5312,0.0887
2453950.649201,148,14.2374,0.0670
2453950.651493,145,14.7605,0.0992
2453950.652245,148,14.1385,0.0622
2453950.655359,145,14.6229,0.0922
2453950.656076,148,14.1376,0.0642
2453950.658414,145,14.6387,0.0922
2453950.659965,148,14.2161,0.0646
2453950.662245,145,14.6401,0.0919
2453950.662986,148,14.6700,0.0758
2453950.665289,145,14.5723,0.0894
2453950.666157,148,14.8188,0.0826
2453950.668426,145,14.6819,0.0948
2453950.669155,148,14.8274,0.0843
2453950.671447,145,14.8978,0.1090
2453950.672164,148,14.4825,0.0847
2453950.675069,145,14.7549,0.1018
2453950.675868,148,15.0430,0.0941
2453950.678137,145,14.7398,0.1009
2453950.678889,148,14.7348,0.0845
2453950.681227,145,14.6082,0.0978
2453950.681968,148,14.6499,0.0820
2453950.684236,145,14.6821,0.1000
2453950.685012,148,14.6388,0.0816
2453950.687361,145,14.7027,0.0990
2453950.688067,148,14.6448,0.0917
2453950.690289,145,14.6018,0.1113
2453950.691123,148,14.9760,0.0944
2453950.692674,145,14.6743,0.0967
2453950.693403,148,14.7295,0.0846
2453950.708796,145,14.1482,0.0724
2453950.709583,148,14.2622,0.0761
2453950.711157,145,14.1398,0.0883
2453950.711887,148,14.0631,0.0749
2453950.713472,145,14.1072,0.0926
2453950.715174,148,14.0536,0.0780
2453950.716644,145,14.1596,0.1006
2453950.717384,148,14.3078,0.0781
2453950.718912,145,14.1799,0.0994
2453950.719641,148,14.2772,0.0775
2453950.721157,145,14.2333,0.0975
2453950.721875,148,14.2370,0.0755
2453950.723368,145,14.2661,0.0999
2453950.724178,148,14.3035,0.0699
2453950.726736,145,14.3118,0.1070
2453950.727477,148,14.3497,0.0743
2453950.728970,145,14.4358,0.1050
2453950.730590,148,14.3785,0.0788
2453950.732141,145,14.3077,0.1239
2453952.498449,145,14.1916,0.1111
2453952.500752,145,14.5012,0.1378
2453952.503056,145,14.4506,0.1330
2453952.505289,145,14.3150,0.1190
2453952.507500,145,14.4177,0.1252
2453952.509711,145,14.5444,0.1388
2453952.512049,145,14.5764,0.1409
2453952.514282,145,14.6814,0.1534
2453952.516725,145,14.7385,0.1584
2453952.519086,145,14.6214,0.1433
2453952.521412,145,14.8236,0.1681
2453952.523692,145,14.6611,0.1472
2453952.525961,145,14.5296,0.1262
2453952.528264,145,14.8671,0.1693
2453952.530602,145,14.8822,0.1699
2453952.532928,145,14.6484,0.1379
2453952.535139,145,14.6439,0.1377
2453952.537500,145,14.7208,0.1417
2453952.539757,145,14.7405,0.1436
2453952.542778,145,14.7826,0.1483
2453952.545845,145,14.5557,0.1230
2453952.548935,145,14.6355,0.1247
2453952.551910,145,15.0510,0.1746
2453952.554907,145,14.6976,0.1256
2453952.557963,145,14.5430,0.1085
2453952.561123,145,14.4332,0.0974
2453952.565081,145,14.2820,0.0836
2453952.568067,145,14.1812,0.0798
2453952.571100,145,14.1476,0.0718
2453952.574271,145,14.0610,0.0655
2453952.577315,145,14.2379,0.0703
2453952.580463,145,14.2623,0.0691
2453952.583507,145,14.1797,0.0624
2453952.586563,145,14.2438,0.0654
2453952.589676,145,14.3507,0.0646
2453952.592697,145,14.4859,0.0675
2453952.595833,145,14.3381,0.0627
2453952.599630,145,14.3369,0.0601
2453952.602731,145,14.4290,0.0633
2453952.605903,145,14.4619,0.0627
2453952.608924,145,14.4858,0.0628
2453952.611979,145,14.5910,0.0671
2453952.615081,145,14.6786,0.0701
2453952.618264,145,14.5298,0.0636
2453952.621273,145,14.6108,0.0668
2453952.624271,145,14.6999,0.0749
2453952.627442,145,14.7196,0.0735
2453952.630544,145,14.6855,0.0735
2453952.634259,145,14.7790,0.0779
2453952.637280,145,14.7731,0.0771
2453952.640231,145,14.7875,0.0816
2453952.643229,145,14.6713,0.0704
2453952.646296,145,14.6941,0.0709
2453952.650162,145,14.5726,0.0659
2453952.653148,145,14.6750,0.0700
2453952.657014,145,14.6897,0.0716
2453952.660093,145,14.6226,0.0671
2453952.663171,145,14.5435,0.0617
2453952.666169,145,14.4950,0.0602
2453952.670058,145,14.1985,0.0480
2453952.670856,148,14.2464,0.0555
2453952.673102,145,14.2281,0.0511
2453952.673843,148,14.0313,0.0518
2453952.676053,145,14.1138,0.0489
2453952.676782,148,14.0564,0.0501
2453952.679051,145,14.1665,0.0509
2453952.679884,148,14.1822,0.0508
2453952.682130,145,14.3020,0.0533
2453952.682905,148,13.9699,0.0482
2453952.684468,145,14.2795,0.0495
2453952.685185,148,13.9240,0.0491
2453952.686713,145,14.3835,0.0544
2453952.687546,148,14.1901,0.0534
2453952.689016,145,14.4275,0.0582
2453952.689757,148,14.0974,0.0509
2453952.692025,145,14.3802,0.0663
2453952.692743,148,14.2863,0.0548
2453952.694236,145,14.4387,0.0560
2453952.695729,148,14.4668,0.0598
2453952.710266,145,14.6535,0.0662
2453952.711007,148,14.6868,0.0654
2453952.712546,145,14.5544,0.0626
2453952.713287,148,14.8326,0.0712
2453952.714780,145,14.5870,0.0641
2453952.715532,148,14.6962,0.0665
2453952.717049,145,14.5663,0.0624
2453952.717824,148,14.7853,0.0689
2453952.719329,145,14.5555,0.0626
2453952.720972,148,14.6977,0.0634
2453952.722465,145,14.6832,0.0726
2453952.723183,148,14.7759,0.0652
2453952.725637,145,14.6559,0.0752
2453952.726389,148,14.9974,0.0811
2453952.727951,145,14.8177,0.0945
2453952.728692,148,14.5178,0.0619
2453952.730185,145,14.9049,0.1146
2453952.730903,148,15.0124,0.1064
2453952.732488,145,14.7820,0.1205
2453952.733241,148,14.9623,0.1271
2453952.734757,145,14.6463,0.1307
2453952.735486,148,15.0213,0.1690
2453952.736227,145,14.7516,0.1682
2453952.737002,148,14.2643,0.1067
2453952.737720,145,14.7308,0.1937
2453953.495822,145,14.3750,0.1367
2453953.498125,145,14.4340,0.1439
2453953.500336,145,13.9304,0.0927
2453953.502650,145,14.2331,0.1161
2453953.504826,145,14.1544,0.1085
2453953.507222,145,14.4096,0.1358
2453953.509653,145,14.3375,0.1262
2453953.511991,145,14.3460,0.1259
2453953.514271,145,14.2717,0.1162
2453953.516655,145,14.2384,0.1110
2453953.519063,145,14.5209,0.1439
2453953.521296,145,14.5720,0.1488
2453953.523576,145,14.2962,0.1155
2453953.525845,145,14.9415,0.2069
2453953.528056,145,14.5903,0.1462
2453953.530347,145,14.4791,0.1334
2453953.532697,145,14.8587,0.1880
2453953.535058,145,14.6626,0.1548
2453953.537303,145,14.5554,0.1410
2453953.540382,145,14.4019,0.1197
2453953.543438,145,14.8470,0.1794
2453953.546597,145,14.6127,0.1431
2453953.549722,145,14.6532,0.1491
2453953.552697,145,14.6225,0.1419
2453953.555787,145,14.5493,0.1306
2453953.558831,145,14.7002,0.1474
2453953.561956,145,14.7829,0.1614
2453953.565035,145,14.5303,0.1250
2453953.568079,145,14.6992,0.1438
2453953.571169,145,14.5935,0.1267
