2453901.7	14.706	0.1838
2453901.708	14.7563	0.2011
2453902.691	14.8231	0.17
2453902.708	14.7037	0.16
2453903.681	15.017	0.2023
2453903.692	14.9752	0.1933
2453903.699	14.9011	0.183
2453903.708	14.7878	0.1764
2453904.692	14.9735	0.1579
2453904.702	15.0469	0.1711
2453904.713	15.1139	0.2367
2453905.672	16.5403	0.1165
2453905.685	16.3491	0.0977
2453905.695	16.3907	0.1012
2453905.708	16.6572	0.1459
2453938.538	14.2608	0.1009
2453938.545	14.2718	0.1014
2453938.55	14.392	0.1025
2453938.555	14.4593	0.1056
2453938.56	14.6599	0.1198
2453938.566	14.5387	0.1084
2453938.571	14.7987	0.1303
2453938.574	14.4174	0.1011
2453938.577	14.4161	0.1055
2453938.58	14.7699	0.1251
2453938.583	14.4946	0.1069
2453938.585	14.5203	0.107
2453938.587	14.6251	0.1133
2453938.59	14.8909	0.1314
2453938.592	14.4413	0.1008
2453938.594	14.6573	0.1176
2453938.597	14.83	0.122
2453938.6	14.5389	0.1027
2453938.602	14.7233	0.116
2453938.605	14.7581	0.1149
2453938.607	14.7105	0.1103
2453938.61	14.6832	0.109
2453938.612	14.8724	0.1216
2453938.615	14.5494	0.0988
2453938.618	14.4339	0.0924
2453938.62	14.3333	0.0869
2453938.622	14.3461	0.0844
2453938.625	14.246	0.0792
2453938.627	14.1011	0.0725
2453938.629	14.1463	0.0825
2453938.632	14.0681	0.0698
2453938.634	14.0931	0.071
2453938.637	14.2321	0.0737
2453938.639	14.2149	0.0704
2453938.642	14.2878	0.0739
2453938.644	14.4218	0.078
2453938.646	14.398	0.0772
2453938.649	14.4736	0.0796
2453938.652	14.3374	0.0716
2453938.654	14.4518	0.0763
2453938.657	14.5175	0.0795
2453938.659	14.4358	0.0752
2453938.661	14.4987	0.077
2453938.664	14.5483	0.0781
2453938.666	14.664	0.0846
2453938.668	14.6278	0.0845
2453938.671	14.5924	0.0812
2453938.673	14.5712	0.0809
2453938.676	14.7395	0.0888
2453938.678	14.9146	0.1039
2453938.68	14.6577	0.0844
2453938.683	14.7298	0.0918
2453938.685	14.6919	0.0923
2453938.688	14.5155	0.0794
2453938.705	14.8199	0.1064
2453938.708	14.8122	0.1048
2453938.71	14.6233	0.0935
2453938.712	14.7542	0.1021
2453938.714	14.7644	0.1057
2453938.717	14.6909	0.102
2453938.719	14.6173	0.1027
2453938.724	14.3669	0.0989
2453938.727	14.2848	0.1071
2453938.728	14.207	0.1176
2453942.527	14.5514	0.1196
2453942.532	14.4664	0.1096
2453942.537	14.5022	0.1104
2453942.542	14.506	0.1084
2453942.546	14.3597	0.0968
2453942.552	14.0477	0.0809
2453942.557	14.1762	0.0849
2453942.562	14.2155	0.086
2453942.565	14.2537	0.0893
2453942.569	14.291	0.0875
2453942.572	14.3027	0.0865
2453942.575	14.3429	0.0869
2453942.578	14.376	0.0887
2453942.581	14.3474	0.0885
2453942.584	14.5223	0.0978
2453942.587	14.4884	0.0941
2453942.591	14.3983	0.0863
2453942.595	14.4058	0.0874
2453942.598	14.4797	0.0888
2453942.601	14.623	0.1002
2453942.605	14.6672	0.1025
2453942.608	14.642	0.0978
2453942.611	14.5039	0.0887
2453942.614	15.0048	0.1265
2453942.617	14.5613	0.0903
2453942.62	14.5564	0.0907
2453942.623	14.8023	0.1034
2453942.627	14.7636	0.1018
