MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1138098094079,11.87,0.05,341.83913,39.15607,53481.45723,0
1138098094079,11.87,0.05,341.83908,39.15602,53481.46119,0
1138098094079,11.92,0.05,341.83903,39.15603,53481.46516,0
1138098094079,11.95,0.05,341.83914,39.15608,53481.46915,0
1138098094079,11.98,0.05,341.83913,39.15596,53734.10935,0
1138098094079,12.02,0.05,341.83912,39.15596,53734.11530,0
1138098094079,11.96,0.05,341.83911,39.15598,53734.12124,0
1138098094079,11.91,0.05,341.83912,39.15596,53734.12717,0
1138098094079,11.79,0.05,341.83908,39.15595,53694.12646,0
1138098094079,11.77,0.05,341.83910,39.15596,53694.13593,0
1138098094079,11.85,0.05,341.83907,39.15596,53694.14480,0
1138098094079,11.91,0.05,341.83911,39.15595,53694.15322,0
1138098094079,12.00,0.05,341.83907,39.15596,53668.10736,0
1138098094079,11.91,0.05,341.83907,39.15592,53668.11602,0
1138098094079,11.83,0.05,341.83906,39.15595,53668.12473,0
1138098094079,11.82,0.05,341.83903,39.15593,53668.13350,0
1138098094079,12.03,0.05,341.83910,39.15594,53674.15756,0
1138098094079,12.05,0.05,341.83908,39.15597,53674.16476,0
1138098094079,12.06,0.05,341.83908,39.15593,53674.17214,0
1138098094079,12.08,0.05,341.83909,39.15596,53674.17942,0
1138098094079,12.07,0.05,341.83913,39.15590,53746.07033,0
1138098094079,12.05,0.05,341.83910,39.15593,53746.07947,0
1138098094079,12.08,0.05,341.83911,39.15591,53746.08864,0
1138098094079,12.11,0.05,341.83910,39.15592,53746.09778,0
1138098094079,12.17,0.05,341.83912,39.15597,54040.12182,0
1138098094079,12.16,0.05,341.83909,39.15599,54040.12689,0
1138098094079,12.18,0.05,341.83914,39.15601,54040.13206,0
1138098094079,12.23,0.05,341.83913,39.15598,54040.13725,0
1138098094079,11.98,0.05,341.83918,39.15602,54059.08001,0
1138098094079,12.03,0.05,341.83916,39.15601,54059.08452,0
1138098094079,12.03,0.05,341.83918,39.15599,54059.08912,0
1138098094079,11.86,0.05,341.83920,39.15604,54059.09389,0
1138098094079,11.83,0.05,341.83916,39.15599,54010.20077,0
1138098094079,11.95,0.05,341.83916,39.15598,54010.20653,0
1138098094079,11.98,0.05,341.83917,39.15600,54010.21243,0
1138098094079,12.07,0.05,341.83916,39.15598,54010.21848,0
1138098094079,11.94,0.05,341.83911,39.15596,54012.18046,0
1138098094079,11.90,0.05,341.83911,39.15596,54012.18317,0
1138098094079,11.88,0.05,341.83911,39.15596,54012.18588,0
1138098094079,11.86,0.05,341.83912,39.15596,54012.18858,0
1138098094079,12.12,0.05,341.83919,39.15596,54453.17927,0
1138098094079,12.09,0.05,341.83920,39.15600,54453.18372,0
1138098094079,12.12,0.05,341.83919,39.15595,54453.18815,0
1138098094079,12.07,0.05,341.83922,39.15596,54453.19256,0
1138098094079,12.13,0.05,341.83913,39.15602,54586.44386,0
1138098094079,12.10,0.05,341.83912,39.15605,54586.44883,0
1138098094079,12.15,0.05,341.83913,39.15604,54586.45384,0
1138098094079,12.17,0.05,341.83912,39.15601,54586.45881,0
1138098094079,12.00,0.05,341.83922,39.15596,54803.14056,0
1138098094079,12.00,0.05,341.83923,39.15598,54803.14589,0
1138098094079,12.02,0.05,341.83923,39.15598,54803.15124,0
1138098094079,12.04,0.05,341.83922,39.15598,54803.15660,0
1138098094079,12.02,0.05,341.83923,39.15600,54803.16193,0
1138098094079,11.64,0.05,341.83918,39.15601,54746.25550,0
1138098094079,11.73,0.05,341.83915,39.15603,54746.26198,0
1138098094079,11.74,0.05,341.83919,39.15605,54746.26840,0
1138098094079,11.77,0.05,341.83917,39.15607,54746.27485,0
1138098094079,12.00,0.05,341.83908,39.15601,54770.11734,0
1138098094079,11.86,0.05,341.83908,39.15598,54770.12397,0
1138098094079,11.71,0.05,341.83908,39.15595,54770.13054,0
1138098094079,11.60,0.05,341.83905,39.15594,54770.13726,0
1138098094079,11.95,0.05,341.83913,39.15601,54733.13372,0
1138098094079,11.96,0.05,341.83911,39.15602,54733.13975,0
1138098094079,11.98,0.05,341.83908,39.15600,54733.14585,0
1138098094079,11.99,0.05,341.83910,39.15599,54733.15195,0
1138098094079,11.93,0.05,341.83922,39.15596,55062.37072,0
1138098094079,11.81,0.05,341.83925,39.15593,55062.37784,0
1138098094079,11.78,0.05,341.83923,39.15592,55062.39249,0
1138098094079,11.83,0.05,341.83918,39.15591,55062.39950,0
1138098094079,12.12,0.05,341.83914,39.15602,55121.10637,0
1138098094079,12.10,0.05,341.83914,39.15603,55121.11363,0
1138098094079,12.14,0.05,341.83913,39.15600,55121.12094,0
1138098094079,12.13,0.05,341.83913,39.15602,55121.12830,0
1138098094079,12.08,0.05,341.83912,39.15598,55121.13555,0
1138098094079,11.86,0.05,341.83918,39.15606,55086.25389,0
1138098094079,11.94,0.05,341.83916,39.15605,55086.25582,0
1138098094079,11.84,0.05,341.83917,39.15605,55086.25842,0
1138098094079,11.85,0.05,341.83919,39.15604,55086.27268,0
1138098094079,11.75,0.05,341.83910,39.15597,55857.20884,0
1138098094079,11.91,0.05,341.83914,39.15596,55857.21676,0
1138098094079,11.96,0.05,341.83910,39.15598,55857.22479,0
1138098094079,12.02,0.05,341.83912,39.15599,55857.23273,0
1138098094079,12.09,0.05,341.83903,39.15603,55825.17654,0
1138098094079,12.02,0.05,341.83900,39.15602,55825.18267,0
1138098094079,11.90,0.05,341.83899,39.15603,55825.18882,0
1138098094079,11.78,0.05,341.83895,39.15599,55825.19510,0
1138098094079,11.84,0.05,341.83909,39.15597,55868.07125,0
1138098094079,11.90,0.05,341.83904,39.15596,55868.07745,0
